site_code,lat_long,Common_name,Site Description,Parking,parking_lat_long,Sonde Housing Notes,Relevant Gauge,Project
JOEI,"40.540819, -105.881445",Joe Wright Inflow,Above Joe Wright Reservoir,Montgomery Pass Parking,"40.539867, -105.882134","10ft Camo pipe, right bank after USGS guage before concrete structure",USGS 6746095,Reservoir Study
CBRI,"40.577997, -105.857219",Chambers Inflow,Below Joe Wright Reservoir,Bridge Near Blue Lake Trailhead,"40.578293, -105.856712","Under bridge, right bank near downstream side, rocky section, 10 ft 4 in setup.",USGS 6746110,Reservoir Study
CHD,"40.6017611,-105.8420278",Chambers Outflow,Chambers Lake Outflow,"Downstream of Chambers Outflow, 100ft downstream of roller","40.602179, -105.843347","Cairn near sonde housing. 15 ft white pipe, in pool on right bank",CWR site JWCCHACO,Reservoir Study
PFAL,"40.651595, -105.810709",Poudre Falls,Hwy 14 bridge downstream of Poudre Falls,"Downstream of Poudre Falls, on upstream side of bridge.","40.651717, -105.810894","In rip rap below bridge, 15 ft camo pipe",Larimer County site 11517,Reservoir Study
SFM,"40.618203, -105.525477",South Fork at Pingree,The South Fork of the CLP at Pingree Park road,Fish Creek Trailhead,"40.618385, -105.525925","Camo pipe, 10 ft, anchored to rock and tposts",Larimer County site 11531,Reservoir Study
PBD,"40.664519,-105.224190",Canyon Mouth,Downstream of the confluence of the North Fork and mainstem of the CLP,DWR site CLAFTCCO,"40.664519,-105.224190","Left bank, vertically mounted to concrete 2 ft upstream of guage housing, 4 in pipe, 10 ft long",DWR site CLAFTCCO,Reservoir Study
tamasag,"40.627868, -105.164528",Tamasag,Upstream of City of Fort Collins on Tamasag property,On Tamasag Property at Conference Center,"40.628538, -105.164616","20ft 3 in to 4in pvc, left bank on right fork downstream of pedestrian bridge",na,PWQN
legacy,"40.60054584, -105.08604",Legacy,Poudre at Legacy Bridge in Slayer Natural Area,McMurry/Slayer Trailhead,"40.601737, -105.086085",15 ft pole mounted on ped bridge next to CFS sign,na,PWQN
lincoln,"40.588073,-105.069231",Lincoln St,Poudre at Lincoln St above Lincoln St Outflow,In Situ Shipping Parking (working hours only) Street parking otherwise,"40.588239, -105.068771","Upstream of USGS gauge, downstream of bridge, left bank",USGS site 06752260,PWQN
timberline,"40.575, -105.033",Timberline,Poudre at Timberline below Dry Creek,Riverbend Ponds Cairnes Trailhead,"40.577885, -105.033155","Left bank, near large tree and swimming area, 20 ft setupm",na,PWQN
prospect,"40.56703363, -105.0272535",Prospect,Poudre below Spring Creek at Prospect,Schneider Electric Parking Lot (SouthEast side),"40.567619, -105.027900","Right bank, mounted to middle of bridge on downstream side. Access from top of bridge",na,PWQN
boxelder,"40.550674,-105.008111",Boxelder,"Poudre above Boxelder Sanitation, formerly ELC",Boxelder Sanitation (Gate on West side of Facility),"40.551275, -105.007804","Left bank, mounted to rip rap downstream of riffle, 20ft housing, camo brown",USGS site 06752280,PWQN
archery,"40.547903, -105.001105",Archery,Poudre below Boxelder Sanitation at Archery Range,Upper Archery Range Parking Lot,"40.547804, -105.000413","Downstream side of abandonded bridge, mounted to middle leg",NA,PWQN
riverbluffs,"40.486145, -104.961921",River Bluffs,Poudre below Fossil Creek Reservoir,River Bluffs Open Space Trailhead,"40.486099, -104.958502","Right bank, downstream of ped bridge, mounted to tposts, rock and rebar. ",DWR site CLARIVCO,PWQN
boxcreek,"40.552003, -105.004576",Boxelder Creek,Boxelder Creek above Boxelder Sanitation,Guage House parking,"40.552210, -105.004764","Downstream side of road bridge, before entrance to BoxelderSan",Boxelder owned guage,CU
springcreek,"40.571137, -105.031363",Spring Creek Outflow,Spring Creek Outflow into Poudre,Schneider Electric Parking Lot (SouthEast side),"40.567619, -105.027900","Upstream side of bridge, mounted vertically to bridge and to rock at base of water, 5-10 ft long, 3 in pipe. ",,CU
